"","subject","age_months","gender","outcome_order","domain","task","expected","unexpected","diff_log"
"121",22,18.4,"male","exp_first","social","reach",2.52358731586691,2.22754990705113,-0.29603740881578
"122",23,19.6,"female","unexp_first","physical","continuity",2.57680801207182,2.60712428251225,0.0303162704404274
"123",23,19.6,"female","unexp_first","physical","solidity",2.86923312505724,3.40119738166216,0.531964256604913
"124",23,19.6,"female","unexp_first","physical","support",2.97756830292632,2.97552956623647,-0.002038736689848
"125",23,19.6,"female","unexp_first","social","drink",2.8131436584062,3.25106008514836,0.437916426742157
"126",23,19.6,"female","unexp_first","social","fairness",2.08054712498759,3.12815685920332,1.04760973421574
"127",23,19.6,"female","unexp_first","social","reach",3.27603423870815,3.10769743645662,-0.168336802251527
"128",24,15.7,"male","unexp_first","physical","containment",2.10413415427021,3.02140002030257,0.917265866032361
"129",24,15.7,"male","unexp_first","physical","continuity",3.30146567659995,3.30615383297526,0.00468815637530806
"130",24,15.7,"male","unexp_first","physical","solidity",2.85088398638905,2.70270259477561,-0.148181391613432
"131",24,15.7,"male","unexp_first","social","fairness",2.26654515651085,2.84819683284545,0.581651676334603
"132",24,15.7,"male","unexp_first","social","reach",2.91719244668433,2.98157632432386,0.064383877639532
"133",25,21.2,"female","exp_first","physical","continuity",3.01033107297514,2.8142103969306,-0.196120676044544
"134",25,21.2,"female","exp_first","physical","support",3.1072736482869,2.26592110862245,-0.841352539664444
"135",25,21.2,"female","exp_first","social","drink",2.46943375448476,2.01758039831298,-0.451853356171775
"136",25,21.2,"female","exp_first","social","reach",3.03762321526315,1.95561619156749,-1.08200702369566
"137",25,21.2,"female","exp_first","social","snack",3.06712226964066,3.31041631576749,0.243294046126822
"138",26,23.8,"female","exp_first","physical","containment",2.58021682959233,1.97408102602201,-0.606135803570315
"139",26,23.8,"female","exp_first","physical","solidity",3.31187723640716,2.67827804276854,-0.633599193638621
"140",26,23.8,"female","exp_first","social","drink",3.39180764131232,3.19004597939321,-0.201761661919106
"141",26,23.8,"female","exp_first","social","fairness",3.25195107654999,3.11449811027228,-0.137452966277704
"142",26,23.8,"female","exp_first","social","reach",2.64458062715354,2.63733467630381,-0.00724595084973156
"143",26,23.8,"female","exp_first","social","snack",2.98163334917449,2.38088035714331,-0.600752992031178
"144",27,24.7,"male","unexp_first","physical","solidity",2.36218822413116,2.8402473707136,0.478059146582438
"145",27,24.7,"male","unexp_first","social","drink",2.7562680100142,2.85257987156214,0.0963118615479455
"146",27,24.7,"male","unexp_first","social","reach",2.47415385801174,2.84425539211114,0.370101534099396
"147",27,24.7,"male","unexp_first","social","snack",3.10009228887823,3.18271584345376,0.0826235545755232
"148",28,16.4,"male","unexp_first","physical","containment",2.67276838695757,2.76757618041624,0.0948077934586662
"149",28,16.4,"male","unexp_first","physical","continuity",3.13990206438357,3.32934327789417,0.189441213510603
"150",28,16.4,"male","unexp_first","physical","solidity",2.59060088812538,3.10009228887823,0.509491400752854
"151",28,16.4,"male","unexp_first","physical","support",2.24918431626693,2.36837283353205,0.119188517265118
"152",28,16.4,"male","unexp_first","social","drink",2.99104842424156,3.16319872935702,0.172150305115457
"153",28,16.4,"male","unexp_first","social","fairness",2.92942227276804,3.37125502504708,0.441832752279039
"154",28,16.4,"male","unexp_first","social","reach",2.11651319695305,2.50215989793556,0.385646700982513
"155",28,16.4,"male","unexp_first","social","snack",2.59525470695687,2.93943738373049,0.344182676773626
"156",29,24.7,"male","exp_first","physical","solidity",3.16427441555103,2.8541687092322,-0.31010570631883
"157",29,24.7,"male","exp_first","social","drink",3.0684564926538,2.8732465083707,-0.195209984283099
"158",29,24.7,"male","exp_first","social","reach",2.83352785891964,2.54403397040662,-0.289493888513017
"159",29,24.7,"male","exp_first","social","snack",3.29435428604411,3.1926332801111,-0.101721005933003
"160",30,17.4,"male","exp_first","physical","containment",2.74727091425549,1.93441576962958,-0.812855144625913
"161",30,17.4,"male","exp_first","physical","continuity",3.37409545188436,3.03879176301444,-0.335303688869926
